family,configuration,f1_negative_mean,f1_neutral_mean,f1_positive_mean
TF-IDF,MLP Baseline + No_Balancing,0.8199611695096248,0.321878893197169,0.24907232544045055
TF-IDF,MLP Advanced + No_Balancing,0.882422565612876,0.2644706931509497,0.2545044824456589
TF-IDF,MLP Keras Tuner + No_Balancing,0.8809240511350108,0.24507677842178374,0.23851783873313193
TF-IDF,Naive Bayes + No_Balancing,0.8800066340492578,0.24169184290030213,0.23571428571428568
TF-IDF,SVM + No_Balancing,0.882070790605359,0.24878640776699026,0.2283464566929134
TF-IDF,Random Forest + No_Balancing,0.8784379147146937,0.3336132236045078,0.2458539564207616
TF-IDF,Logistic Regression + No_Balancing,0.8823333333333333,0.2857142857142857,0.2558139534883721
TF-IDF,MLP Baseline + ROS,0.8495505011136605,0.30441040593750607,0.22713617097910843
TF-IDF,MLP Advanced + ROS,0.8580063691633262,0.28585045329848463,0.2275572841696044
TF-IDF,MLP Keras Tuner + ROS,0.8447518166311015,0.30258810086760474,0.200782399596658
TF-IDF,Naive Bayes + ROS,0.7709895645814092,0.3902076848137763,0.18187062192447834
TF-IDF,SVM + ROS,0.7408893155100628,0.37681083294242357,0.16251761776436233
TF-IDF,Random Forest + ROS,0.8676402596143497,0.4046103358180007,0.2556539446774713
TF-IDF,Logistic Regression + ROS,0.7372683240138557,0.37463339213676844,0.153529802327672
TF-IDF,MLP Baseline + SMOTE,0.8664298946096611,0.21354551949096087,0.22964649934683232
TF-IDF,MLP Advanced + SMOTE,0.8404483130562332,0.31323374406864196,0.22088389605199252
TF-IDF,MLP Keras Tuner + SMOTE,0.841076239706906,0.31499504374867987,0.20110630561868215
TF-IDF,Naive Bayes + SMOTE,0.7795863175260651,0.38869723402503936,0.18823141554283626
TF-IDF,SVM + SMOTE,0.7983757509567594,0.37999228298414867,0.15032162967076587
TF-IDF,Random Forest + SMOTE,0.857741759424396,0.3932526256997253,0.253846160296493
TF-IDF,Logistic Regression + SMOTE,0.7837874468270202,0.3803225719040102,0.15312554633681408
TF-IDF,MLP Baseline + RUS,0.6049252108764068,0.3242113105927565,0.10878665344730835
TF-IDF,MLP Advanced + RUS,0.2922051858392872,0.1237911725483092,0.020538673388414322
TF-IDF,MLP Keras Tuner + RUS,0.4168380654464244,0.2228916934874273,0.09176556695785965
TF-IDF,Naive Bayes + RUS,0.6887111933210764,0.3638399678065893,0.13147918987702384
TF-IDF,SVM + RUS,0.6394516842121584,0.37284904156179516,0.11910556163143121
TF-IDF,Random Forest + RUS,0.6482457146631294,0.39964277119491903,0.1290409282775344
TF-IDF,Logistic Regression + RUS,0.6228513058018842,0.3777338582134919,0.1252908733637302
TF-IDF,MLP Baseline + SMOTEENN,0.24856429634846688,0.3222720344629692,0.13208082513030217
TF-IDF,MLP Advanced + SMOTEENN,0.20341058552678012,0.3266768846356145,0.13074759168732727
TF-IDF,MLP Keras Tuner + SMOTEENN,0.21547648292151508,0.32062661482289406,0.12716516528281296
TF-IDF,Naive Bayes + SMOTEENN,0.05683437291527967,0.32184490638515334,0.11751858906030538
TF-IDF,SVM + SMOTEENN,0.2019087775707955,0.32865750721170056,0.1174624097633003
TF-IDF,Random Forest + SMOTEENN,0.1348031658319754,0.3275007381109764,0.160366734240609
TF-IDF,Logistic Regression + SMOTEENN,0.11835342100421742,0.33772930865725154,0.10659893391413716
TF-IDF,MLP Baseline + SMOTETomek,0.863538332743821,0.23476474486039822,0.22427289384379154
TF-IDF,MLP Advanced + SMOTETomek,0.8472760351476493,0.3150124445254781,0.21986998267023805
TF-IDF,MLP Keras Tuner + SMOTETomek,0.8436243107410034,0.2900489097604145,0.20126463898051838
TF-IDF,Naive Bayes + SMOTETomek,0.7788773559387226,0.3884804927492072,0.18368058508480925
TF-IDF,SVM + SMOTETomek,0.7981962820445427,0.37989243840974335,0.1485243874321407
TF-IDF,Random Forest + SMOTETomek,0.8580193906357184,0.3958683121308893,0.2523147973260745
TF-IDF,Logistic Regression + SMOTETomek,0.7838493900564577,0.3799126458258832,0.15465388199143623
Frozen IndoBERTweet,IndoBERTweet + No_Balancing,0.8811964375735171,0.3088803088803089,0.2939068100358423
Frozen IndoBERTweet,IndoBERTweet + ROS,0.6851015583725343,0.38981913081616204,0.12148647647136358
Frozen IndoBERTweet,IndoBERTweet + SMOTE,0.6745084653392874,0.3793597349211195,0.11983042606678339
Frozen IndoBERTweet,IndoBERTweet + RUS,0.572435922369987,0.3395624198993555,0.09950287816033215
Frozen IndoBERTweet,IndoBERTweet + SMOTEENN,0.1671765712623935,0.32553507669847526,0.09506586095489257
Frozen IndoBERTweet,IndoBERTweet + SMOTETomek,0.6738985307460696,0.37973001771956866,0.11934509768497005
Frozen IndoBERTweet,IndoBERTweet + Class_Weighted,0.6846768019249699,0.3938556067588326,0.12155388471177946
