family,configuration,f1_macro_mean,f1_macro_std
TF-IDF,Random Forest + ROS,0.5093015133699406,0.000582374161572058
TF-IDF,Random Forest + SMOTETomek,0.5020675000308941,0.005596421442918429
TF-IDF,Random Forest + SMOTE,0.5016135151402047,0.003986911394269633
Frozen IndoBERTweet,IndoBERTweet + No_Balancing,0.49466118549655613,0.0
TF-IDF,Random Forest + No_Balancing,0.48596836491332107,0.0016749806127203636
TF-IDF,Logistic Regression + No_Balancing,0.4746205241786637,0.0
TF-IDF,MLP Advanced + No_Balancing,0.4671325804031616,0.004130173267051921
TF-IDF,MLP Baseline + No_Balancing,0.4636374627157482,0.00496418580681905
TF-IDF,MLP Advanced + SMOTETomek,0.46071948744778846,0.002086000607971345
TF-IDF,MLP Baseline + ROS,0.4603656926767583,0.0038212654186300025
TF-IDF,MLP Advanced + SMOTE,0.4581886510589559,0.00732783168464835
TF-IDF,MLP Advanced + ROS,0.4571380355438051,0.0013967737259779323
TF-IDF,MLP Keras Tuner + No_Balancing,0.4548395560966421,0.01148027893387385
TF-IDF,SVM + No_Balancing,0.4530678850217542,0.0
TF-IDF,Naive Bayes + No_Balancing,0.45247092088794855,0.0
TF-IDF,MLP Keras Tuner + SMOTE,0.4523925296914227,0.004052396647582037
TF-IDF,Naive Bayes + SMOTE,0.45217165569798023,0.00258971086833474
TF-IDF,Naive Bayes + SMOTETomek,0.450346144590913,0.0025296823859799465
TF-IDF,MLP Keras Tuner + ROS,0.44937410569845465,0.011527014417823535
TF-IDF,Naive Bayes + ROS,0.447689290439888,0.0008785052227455346
TF-IDF,MLP Keras Tuner + SMOTETomek,0.44497928649397883,0.00850729364268092
TF-IDF,SVM + SMOTE,0.4428965545372246,0.0003318782578044688
TF-IDF,SVM + SMOTETomek,0.4422043692954756,0.0007364011336785808
TF-IDF,MLP Baseline + SMOTETomek,0.44085865714933686,0.003880287220421671
TF-IDF,Logistic Regression + SMOTETomek,0.4394719726245923,0.003038524234745178
TF-IDF,Logistic Regression + SMOTE,0.43907852168928146,0.002666680184474665
TF-IDF,MLP Baseline + SMOTE,0.4365406378158181,0.004816183433122207
TF-IDF,SVM + ROS,0.4267392554056162,0.0007781336359608987
TF-IDF,Logistic Regression + ROS,0.4218105061594321,0.0015133938081988865
Frozen IndoBERTweet,IndoBERTweet + Class_Weighted,0.4000287644651939,0.0
Frozen IndoBERTweet,IndoBERTweet + ROS,0.3988023885533533,0.00223644210970854
TF-IDF,Naive Bayes + RUS,0.39467678366822984,0.005057694230168804
TF-IDF,Random Forest + RUS,0.39230980471186094,0.0030940499926648173
Frozen IndoBERTweet,IndoBERTweet + SMOTE,0.39123287544239677,0.0015353128854089253
Frozen IndoBERTweet,IndoBERTweet + SMOTETomek,0.39099121538353615,0.0018878183914289098
TF-IDF,SVM + RUS,0.37713542913512826,0.007070516971276354
TF-IDF,Logistic Regression + RUS,0.3752920124597021,0.005614095904855532
TF-IDF,MLP Baseline + RUS,0.3459743916388239,0.007994697468890293
Frozen IndoBERTweet,IndoBERTweet + RUS,0.33716707347655817,0.005570047493180456
TF-IDF,MLP Keras Tuner + RUS,0.24383177529723712,0.07046570549749388
TF-IDF,MLP Baseline + SMOTEENN,0.23430571864724611,0.0019597965809499776
TF-IDF,MLP Keras Tuner + SMOTEENN,0.22108942100907403,0.007385658071421244
TF-IDF,MLP Advanced + SMOTEENN,0.22027835394990727,0.003551998109190185
TF-IDF,SVM + SMOTEENN,0.2160095648485988,0.0005396066038278191
TF-IDF,Random Forest + SMOTEENN,0.20755687939452028,0.0015638920859045663
Frozen IndoBERTweet,IndoBERTweet + SMOTEENN,0.19592583630525376,0.002133499038963072
TF-IDF,Logistic Regression + SMOTEENN,0.18756055452520204,0.0018637333253116609
TF-IDF,Naive Bayes + SMOTEENN,0.16539928945357943,0.001058789656149057
TF-IDF,MLP Advanced + RUS,0.14551167725867023,0.107261294938976
