family,configuration,f1_mean,f1_std
TF-IDF,Random Forest + ROS,0.7612450332422037,0.001097449305626085
TF-IDF,Random Forest + No_Balancing,0.7559993569018054,0.0011176769346188868
Frozen IndoBERTweet,IndoBERTweet + No_Balancing,0.7550074909467851,0.0
TF-IDF,Random Forest + SMOTETomek,0.7519870938057939,0.0020646747657385176
TF-IDF,Random Forest + SMOTE,0.7513262640801729,0.0006556294182083463
TF-IDF,Logistic Regression + No_Balancing,0.7503365419541456,0.0
TF-IDF,MLP Advanced + No_Balancing,0.7463664566620193,0.0036960886210465004
TF-IDF,SVM + No_Balancing,0.742317341175765,0.0
TF-IDF,MLP Keras Tuner + No_Balancing,0.7410440704444673,0.007075791897540293
TF-IDF,Naive Bayes + No_Balancing,0.7396029043684135,0.0
TF-IDF,MLP Advanced + ROS,0.7304905566876059,0.0003416803638688433
TF-IDF,MLP Baseline + ROS,0.7273723307582799,0.0017474402101346053
TF-IDF,MLP Advanced + SMOTETomek,0.7273645758944793,0.0015347879716645248
TF-IDF,MLP Baseline + SMOTETomek,0.725088538288987,0.00189255792186258
TF-IDF,MLP Baseline + SMOTE,0.7235199233378088,0.0034937723725270795
TF-IDF,MLP Keras Tuner + ROS,0.7224561348520386,0.007585405464837226
TF-IDF,MLP Keras Tuner + SMOTE,0.7219334184154395,0.0018117226666550254
TF-IDF,MLP Advanced + SMOTE,0.7217337555176324,0.0065669063258940764
TF-IDF,MLP Keras Tuner + SMOTETomek,0.71923129503731,0.006515539618928074
TF-IDF,MLP Baseline + No_Balancing,0.7082604544033332,0.00560838689206512
TF-IDF,SVM + SMOTE,0.6992499922026009,0.0005061238833061237
TF-IDF,SVM + SMOTETomek,0.6990346443595693,5.818882156821726e-05
TF-IDF,Logistic Regression + SMOTETomek,0.688035797956133,0.002127645370757078
TF-IDF,Logistic Regression + SMOTE,0.6880165652518523,0.0015162816888247687
TF-IDF,Naive Bayes + SMOTE,0.6874183882124791,0.001560472891762055
TF-IDF,Naive Bayes + SMOTETomek,0.6866812778469044,0.001587086715753742
TF-IDF,Naive Bayes + ROS,0.6807943519133376,0.00025094106761551905
TF-IDF,SVM + ROS,0.6541759905071137,0.0014092361064949577
TF-IDF,Logistic Regression + ROS,0.6506579652811011,0.0013715680898724442
Frozen IndoBERTweet,IndoBERTweet + Class_Weighted,0.6122316746103059,0.0
Frozen IndoBERTweet,IndoBERTweet + ROS,0.6118012475093072,0.002335880743032068
TF-IDF,Naive Bayes + RUS,0.6100422716746178,0.011902709299308244
Frozen IndoBERTweet,IndoBERTweet + SMOTE,0.601514318333331,0.00136583611117094
Frozen IndoBERTweet,IndoBERTweet + SMOTETomek,0.6010928015865235,0.00209566009104424
TF-IDF,Random Forest + RUS,0.5851279313913752,0.007586680505915437
TF-IDF,SVM + RUS,0.5729100481769593,0.011582752184189764
TF-IDF,Logistic Regression + RUS,0.5610701176340543,0.00933921437245008
TF-IDF,MLP Baseline + RUS,0.5364886395875732,0.011210785399688842
Frozen IndoBERTweet,IndoBERTweet + RUS,0.5137336681924901,0.008284601773809972
TF-IDF,MLP Keras Tuner + RUS,0.37011185113493617,0.0821268115235812
TF-IDF,MLP Baseline + SMOTEENN,0.2587753478603725,0.004515305280524586
TF-IDF,MLP Advanced + RUS,0.25196395556296736,0.3061461484216817
TF-IDF,MLP Keras Tuner + SMOTEENN,0.2324915227719655,0.019761044486766133
TF-IDF,MLP Advanced + SMOTEENN,0.2243275295430235,0.009178991153968547
TF-IDF,SVM + SMOTEENN,0.2231107035418435,0.002557810132402257
Frozen IndoBERTweet,IndoBERTweet + SMOTEENN,0.19471605895592922,0.0037211424449960554
TF-IDF,Random Forest + SMOTEENN,0.17187715293235326,0.0024289836559387664
TF-IDF,Logistic Regression + SMOTEENN,0.15927553860879487,0.0018608046500592653
TF-IDF,Naive Bayes + SMOTEENN,0.10862362547090769,0.0014357153722695602
